sample_unit_id,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent
112066,Oregon,100.00,NA,0.00,NA,0.00
121848,Idaho,67.22,Washington,32.78,NA,0.00
107479,Oregon,100.00,NA,0.00,NA,0.00
94489,California,100.00,NA,0.00,NA,0.00
97776,Idaho,100.00,NA,0.00,NA,0.00
110702,Oregon,100.00,NA,0.00,NA,0.00
127847,Washington,100.00,NA,0.00,NA,0.00
110735,Idaho,99.92,Oregon,0.08,NA,0.00
66693,California,100.00,NA,0.00,NA,0.00
128760,Washington,100.00,NA,0.00,NA,0.00
110748,Idaho,100.00,NA,0.00,NA,0.00
50530,California,100.00,NA,0.00,NA,0.00
97289,Oregon,100.00,NA,0.00,NA,0.00
86592,California,100.00,NA,0.00,NA,0.00
65319,California,100.00,NA,0.00,NA,0.00
107513,Idaho,100.00,NA,0.00,NA,0.00
83831,California,100.00,NA,0.00,NA,0.00
112105,Oregon,100.00,NA,0.00,NA,0.00
56992,California,100.00,NA,0.00,NA,0.00
98638,California,100.00,NA,0.00,NA,0.00
101496,Idaho,100.00,NA,0.00,NA,0.00
102364,Oregon,100.00,NA,0.00,NA,0.00
122765,Washington,100.00,NA,0.00,NA,0.00
60243,California,100.00,NA,0.00,NA,0.00
79200,California,100.00,NA,0.00,NA,0.00
107488,Oregon,54.40,Idaho,45.60,NA,0.00
50514,California,100.00,NA,0.00,NA,0.00
107907,Oregon,100.00,NA,0.00,NA,0.00
125999,Washington,100.00,NA,0.00,NA,0.00
89367,California,100.00,NA,0.00,NA,0.00
68087,California,100.00,NA,0.00,NA,0.00
125518,Washington,100.00,NA,0.00,NA,0.00
